Nr,x,y,H,Kodi,Përshkrimi,Burimi
RR3PK1,7515395.687,4692703.027,616.2788,11,Monoment,PM
156784,7514662.896,4692385.554,615.423,2,Kunjë - shtyllë metalik,PM
156785,7514682.786,4692389.013,615.72785,2,Kunjë - shtyllë metalik,PM
156786,7514699.216,4692389.222,615.90525,2,Kunjë - shtyllë metalik,PM
156787,7514717.556,4692388.842,616.1988,2,Kunjë - shtyllë metalik,PM
156811,7514705.248,4692439.83,616.377,2,Kunjë - shtyllë metalik,PM
156812,7514696.895,4692473.854,617.15,2,Kunjë - shtyllë metalik,PM
156850,7514648.408,4692432.282,616.025,2,Kunjë - shtyllë metalik,PM
156851,7514633.009,4692479.645,616.609,2,Kunjë - shtyllë metalik,PM
156852,7514632.36,4692481.64,616.66,2,Kunjë - shtyllë metalik,PM
156853,7514659.85,4692488.39,616.981,2,Kunjë - shtyllë metalik,PM
156854,7514665.31,4692465.41,616.735,2,Kunjë - shtyllë metalik,PM
156855,7514696.67,4692473.79,617.031,2,Kunjë - shtyllë metalik,PM
1,7514676.873,4692387.985,616.842,2,Kunjë - shtyllë metalik,PM
102,7514665.011,4692465.33,616.842,2,Kunjë - shtyllë metalik,PM
